,Group,OTU37,OTU365,OTU370,OTU423,OTU567,OTU598,OTU733,OTU982,OTU1123,OTU1225,OTU1389,OTU1700,OTU2031,OTU2040,OTU2094,OTU2159,OTU2430,OTU2437,OTU3033,OTU3274,OTU4108,OTU4183,OTU4187,OTU4263,OTU4269,OTU4522,OTU5482,OTU5892,OTU6393,OTU6808,OTU7186,OTU7702,OTU7708,OTU8590,OTU9959,OTU9963,OTU10035,OTU10567,OTU10602,OTU10904,OTU10906,OTU11463,OTU11464,OTU11465,OTU11466,OTU12550,OTU13682,OTU13683,OTU13684,OTU13694,OTU13696,OTU13719,OTU13721,OTU13723,OTU13724,OTU13725,OTU13732,OTU13734,OTU13735,OTU13737,OTU13738,OTU13739,OTU14014,OTU17659,OTU17660,OTU17661,OTU17662,OTU17663
35,2NDW421cm_V4_S5,1490,1016,749,40,843,557,1590,1231,1475,737,493,18,157,1841,569,237,381,2084,191,222,380,734,1184,330,105,90,117,341,9,311,202,741,250,823,886,122,1033,217,772,562,342,166,796,1171,538,663,319,32,100,91,473,681,105,59,356,294,375,195,74,110,439,18,306,759,162,304,478,115
36,2NDW430cm_V4_S14,30,94,1,0,6,1998,357,35,282,36,0,0,0,1427,12,0,5,46,1,171,13,33,0,1,0,2,0,0,0,3,8,144,0,184,34,2,519,0,6,2,711,0,0,0,40,194,767,0,0,0,77,15,0,0,275,0,278,95,0,271,5,0,309,3,22,146,80,401
37,2NDW500cm_V4_S10,806,375,643,51,380,30,185,230,162,202,323,1023,404,5,188,310,144,47,223,87,79,143,50,250,335,235,127,164,598,179,113,118,273,105,46,226,16,167,45,44,1,234,546,78,41,67,14,341,93,108,9,50,83,203,4,96,11,6,90,0,50,220,18,51,6,7,50,9
38,2NDW505cm_V4_S18,1096,716,604,735,723,59,594,674,228,441,609,658,370,23,225,751,344,42,155,126,214,221,176,673,377,130,391,249,328,161,91,346,182,266,39,140,58,327,94,45,6,424,37,71,98,187,16,91,77,98,47,98,220,148,26,119,35,31,156,4,209,38,50,220,12,38,135,5
39,2NDW513cm_V4_S26,12,131,11,10,13,1285,218,48,410,36,3,4,9,766,10,16,6,69,5,146,119,56,4,3,3,19,1,3,0,7,52,75,5,92,88,15,415,2,19,6,690,3,0,3,28,129,504,2,1,3,108,41,1,17,285,0,165,95,2,604,17,4,281,1,85,264,99,1157
40,2NDW524cm_V4_S34,17,29,0,0,7,1044,178,45,284,18,0,0,0,399,1,1,10,23,0,17,65,40,2,2,0,10,0,1,0,6,23,16,0,20,18,14,241,0,0,2,402,0,0,2,11,38,78,0,0,0,4,8,0,0,242,0,54,50,0,623,2,0,253,1,42,461,9,2230
41,2NDW600cm_V4_S105,2595,2045,2085,1868,1477,60,761,406,654,592,1192,1479,883,10,1037,501,544,118,644,358,250,372,282,911,825,328,458,577,845,477,213,111,501,99,39,502,39,260,96,40,13,465,87,173,240,76,22,637,318,324,13,73,292,425,8,402,35,29,230,5,186,556,78,164,27,39,252,8
42,2NDW605cm_V4_S99,3459,2671,3321,3214,2021,128,1308,765,479,764,1761,2337,843,16,996,778,671,138,842,395,184,519,539,1688,854,285,570,1009,1256,360,142,164,569,144,438,202,54,342,44,533,3,1281,0,110,274,166,16,677,302,377,55,165,544,387,28,239,73,13,396,0,346,396,128,66,76,56,291,7
43,2NDW609cm_V4_S111,820,804,432,480,590,1162,938,567,484,565,251,69,157,1129,225,577,214,291,128,421,1005,292,350,332,114,263,197,196,41,226,490,234,195,267,227,874,241,182,80,356,261,124,36,380,240,184,53,20,53,150,434,138,110,214,489,98,450,253,10,187,327,35,212,116,135,222,351,88
44,2NDW614cm_V4_S117,48,324,20,24,50,5202,581,79,1180,63,23,12,21,2529,50,6,4,27,12,456,42,195,15,17,3,5,5,14,5,3,40,275,9,401,154,18,869,0,21,12,2357,14,0,1,86,530,1662,12,11,2,178,75,6,5,729,7,621,594,1,1167,19,10,833,8,79,2307,335,797
